Name,P,R,mAP50,mAP50-95,pre-process,inference,NMS,Total Time(ms),Speed-up,Map reduce
v5n_head_ori,0.858,0.81,0.872,0.388,1.4,2.6,10.2,14.2,Baseline,Baseline
v5n_head_ori_int8,0.728,0.662,0.724,0.274,1.1,2.3,9.3,12.700000000000001,0.1056,0.1697
v5n_head_ori_int8_fp16,0.817,0.772,0.834,0.34,1.1,2.3,9.1,12.5,0.1197,0.0436
v5n_head_qar_int8,0.851,0.796,0.865,0.381,1.3,2.5,9.5,13.3,0.0634,0.008
v5n_head_qat_in8_fp16,0.851,0.797,0.865,0.38,0.9,2,7.5,10.4,0.2676,0.008
,,,,,,,,,,
,,,,,,,,,,
Name,P,R,mAP50,mAP50-95,,,,,,
v5n_fgmask_v5s,0.87,0.8,0.859,0.392,-,-,-,-,-,-
v5n_head,0.858,0.755,0.815,0.366,-,-,-,-,-,-
v5s_head,0.898,0.826,0.879,0.415,-,-,-,-,-,-
v5n_yolodist_v5s,0.859,0.76,0.816,0.371,,,,,,
,,,,,,,,,,
v5n_head_0.5_L2(epoch150),0.744,0.661,0.715,0.282,,,,,,
v5n_head_0.5_L2_epoch50,0.715,0.633,0.68,0.258,,,,,,
v5n_head_0.5_L2_epoch100,0.74,0.658,0.702,0.280,,,,,,
v5n_0.5_maskd_v5n(epoch150),0.78,0.718,0.783,0.323,,,,,,
v5n_0.5_maskd_v5n_epoch50,0.716,0.653,0.695,0.268,,,,,,
v5n_0.5_maskd_v5n_epoch100,0.752,0.694,0.749,0.301,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,P,R,mAP50,mAP50-95,,,,,,
v5n_free_head,0.893,0.855,0.911,0.432,-,-,-,-,-,-
v5s_free_head,0.912,0.889,0.932,0.454,-,-,-,-,-,-
v5n_free_maskd_v5s,0.905,0.869,0.921,0.439,-,-,-,-,-,-
,,,,,,,,,,
Name,P,R,mAP50,mAP50-95,,,,,,
v5n_voc,0.678,0.631,0.678,0.452,,,,,,
v5s_voc,0.746,0.709,0.764,0.557,,,,,,
v5n_maskd_voc,0.662,0.636,0.664,0.425,mask=1.0,,,,,
v5n_maskd_voc_v2,0.684,0.653,0.678,0.425,mask=0.1,,,,,
v5n_maskd_voc_v3,0.689,0.651,0.690,0.462,mask=0.01,,,,,
,,,,,,,,,,
v5n_maskd_yoloreg_v5s,0.695,0.649,0.686,0.456,mask=1.0,,,,,
v5n_maskd_yoloreg_v5s,0.719,0.654,0.721,0.486,mask=0.01,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
v5n_yolodist_v5s,0.718,0.643,0.704,0.488,,,,,,
v5s_random_mask,0.686,0.181,0.32,0.094,,,,,,
v5s_trained_mask,0.746,0.7,0.757,0.545,,,,,,
,,,,,,,,,,
Name,P,R,mAP50,mAP50-95,,,,,,
v5n_coco,0.572,0.433,0.456,0.277,,,,,,
v5n_fgmask_v5l,0.585,0.436,0.463,0.280,,,,,,
v5l_coco,0.746,0.608,0.671,0.487,,,,,,
